StreetPostcode,ReplacedPipes,BuiltAfter1970,Easting,Northing,WOAName,Region,CensusHouseholdCount2011,UrbanRural,Phosphorus,LeadMeasurement,BuildYear,MeanHouseAge,MedianHouseAge,BuildYearRounded,LeadPresence,TotalPoints,LeadProportion
KW172BP,0,0.529411765,374016,1044173,Sanday WOA,DON,44,8,0,0.24,1939.333333,79.66666667,47,1939,0,5,0
KW172BW,0,0.538461538,369065,1041143,Sanday WOA,DON,24,8,0,0.2875,1947.423077,71.57692308,45,1947,0,8,0
KW172BZ,0,0.529411765,343810,1048105,Westray WOA,DON,19,8,0,1.5,1951.941176,67.05882353,48,1952,2,4,0.5
KW172DB,0,0.590909091,345694,1046913,Westray WOA,DON,19,8,0,2.25,1936.363636,82.63636364,44.5,1936,3,6,0.5
KW172DE,0,0.709677419,350463,1041012,Westray WOA,DON,20,8,0,0.96,1977.193548,41.80645161,30,1977,1,5,0.2
KW172DJ,0,1,343675,1048744,Westray WOA,DON,20,8,0,0.4,1974.9,44.1,48,1975,0,2,0
KW172DN,0,0.742857143,344745,1050385,Westray WOA,DON,34,8,0,0.4,1968.942857,50.05714286,37,1969,0,7,0
KW172DP,0,0.352941176,344443,1045289,Westray WOA,DON,13,8,0,0.55,1939.352941,79.64705882,59,1939,0,2,0
KW172DU,0,1,348363,1017077,Kirbister & Boardhouse WOA,DON,12,8,0,1.25,1997.333333,21.66666667,24,1997,2,2,1
KW172DW,0,0.538461538,342924,1048340,Westray WOA,DON,34,8,0,1.35,1959.948718,59.05128205,45,1960,2,4,0.5
KW172DX,0,0.454545455,347909,1016486,Kirbister & Boardhouse WOA,DON,9,8,0,0.7,1931.818182,87.18181818,51,1932,0,1,0
KW172DY,0,0.666666667,348322,1017536,Kirbister & Boardhouse WOA,DON,27,8,0,1.116666667,1956.851852,62.14814815,41,1957,4,7,0.571428571
KW172HR,0,0.545454545,328504,1022931,Boardhouse WOA,DON,16,8,0,0.45,1968.818182,50.18181818,45,1969,0,2,0
KW172JA,0,0.75,329930,1020167,Boardhouse WOA,DON,15,8,0,0.2,1980,39,40.5,1980,0,2,0
KW172JH,0,0.576923077,326439,1022392,Boardhouse WOA,DON,25,8,0,0.475,1969.615385,49.38461538,37,1970,0,4,0
KW172JQ,0,0.722222222,327847,1020988,Boardhouse WOA,DON,15,8,0,0.2,1958.888889,60.11111111,35,1959,0,2,0
KW172JR,0,0.674418605,332528,1016799,Boardhouse WOA,DON,36,8,0,0.325,1969.976744,49.02325581,36,1970,0,5,0
KW172JU,0,0.578947368,333645,1015221,Boardhouse WOA,DON,20,8,0,0.45,1967.210526,51.78947368,46,1967,0,2,0
KW172LF,0,0.6,330020,1019258,Boardhouse WOA,DON,8,8,0,1.1,1961.1,57.9,41.5,1961,1,1,1
KW172NS,0,0.6,328411,1028774,Boardhouse WOA,DON,9,8,0,0.2,1977.7,41.3,36,1978,0,1,0
KW172PR,0,0.558139535,343834,1031120,Rousay School WOA,DON,34,8,0,0.98,1955.27907,63.72093023,45,1955,3,5,0.6
KY138AD,0,1,311135,703242,Glenfarg WOA,TAY,10,3,1156.446809,0.2,1987.3,31.7,32,1987,0,1,0
KY138BT,0,1,311290,702853,Glenfarg WOA,TAY,11,3,1156.446809,0.2,1982.166667,36.83333333,37,1982,0,2,0
KY138QX,0,1,311436,702888,Glenfarg WOA,TAY,10,3,1156.446809,0.2,1979.3,39.7,40,1979,0,1,0
ML12FA,0,1,277024,655779,Daer & Coulter WOA,NITH,6,2,435.8571429,0.2,2011.15,7.85,7,2011,0,1,0
PA248AA,0,0.8,219881,701534,Lochgoilhead WOA,FORTH,30,7,557.7,0.2,1977,42,24,1977,0,9,0
PA318QN,0,0.647058824,180521,704382,Ardfern WOA,FORTH,69,8,0,0.65483871,1951.794118,67.20588235,29,1952,3,31,0.096774194
PA331AA,0,0.5,215979,727207,Dalmally WOA,FORTH,21,8,0,0.2,1939.833333,79.16666667,38.5,1940,0,3,0
PA331AS,0,0.4,215761,727931,Dalmally WOA,FORTH,23,8,0,0.214285714,1907.8,111.2,139,1908,0,7,0
PA331BQ,0,0.363636364,210349,722579,Cladich WOA,FORTH,16,8,0,0.2,1876.090909,142.9090909,219,1876,0,5,0
PA344XF,0,1,184695,712744,Kilmelford WOA,FORTH,30,8,0,1.171428571,2007.222222,11.77777778,9,2007,1,7,0.142857143
PA345UG,0,0.466666667,184547,741342,Lismore Primary WOA,FORTH,23,8,0,1.666666667,1928.266667,90.73333333,49,1928,3,3,1
PA351HT,0,0.333333333,203293,729650,Taynuilt WOA,FORTH,13,8,0,0.3,1960.166667,58.83333333,54,1960,0,2,0
PA351HY,0,0.416666667,199637,730043,Taynuilt WOA,FORTH,47,8,0,4.94,1926.791667,92.20833333,86,1927,1,5,0.2
PA351JE,0,0.727272727,200413,731108,Taynuilt WOA,FORTH,29,8,0,0.75,1963.272727,55.72727273,14,1963,1,4,0.25
PA417AD,0,0.242424242,164267,647851,Gigha WOA,FORTH,30,8,0,0.755555556,1874.121212,144.8787879,219,1874,3,9,0.333333333
PA617YR,0,0.555555556,136658,694889,Colonsay WOA,FORTH,25,8,0,0.625,1948.111111,70.88888889,15.5,1948,2,8,0.25
PA756NU,0,0.8,150626,755335,Tobermory WOA,FORTH,28,8,418.9,0.2,1974.2,44.8,11,1974,0,3,0
PA756QA,0,0.952380952,150351,754546,Tobermory WOA,FORTH,30,8,418.9,0.2,2001,18,13,2001,0,3,0
PA776UE,1,0.2,95948,740445,Tiree WOA,FORTH,14,8,0,0.383333333,1915.6,103.4,119,1916,0,6,0
PA786SY,0,0.6,122393,757120,Arinagour WOA,FORTH,17,8,0,0.5,1955.8,63.2,20,1956,1,4,0.25
PH107JL,0,0.705882353,314129,751637,Kirkmichael WOA,TAY,25,7,0,0.2,1971.823529,47.17647059,29,1972,0,6,0
PH107ND,0,1,307896,759911,Kirkmichael WOA,TAY,10,7,0,0.2,2009,10,10,2009,0,8,0
PH152BS,0,0.266666667,285406,749265,Killiecrankie WOA,TAY,18,7,570.755102,1,1919.866667,99.13333333,126,1920,1,3,0.333333333
PH152HB,0,0.428571429,277778,745135,Kenmore WOA,TAY,13,8,1435.297297,1.4375,1966.642857,52.35714286,79,1967,4,8,0.5
PH152HJ,0,0.375,277480,745604,Kenmore WOA,TAY,15,8,1435.297297,0.2,1970.5625,48.4375,51,1971,0,10,0
PH152HT,0,0.166666667,275656,743812,Kenmore WOA,TAY,9,8,1435.297297,0.2,1960.5,58.5,58,1960,0,2,0
PH152JF,0,0.25,281786,749483,Killiecrankie WOA,TAY,20,8,570.755102,0.25,1878.75,140.25,109,1879,0,2,0
PH15AZ,0,0.928571429,311022,725071,Perth (Gowans Terrace) WOA,TAY,5,2,561.0545455,0.2,2006.857143,12.14285714,8,2007,0,1,0
PH165AY,0,0.769230769,293830,758307,Killiecrankie WOA,TAY,15,7,570.755102,0.2,1964.923077,54.07692308,36,1965,0,2,0
PH165DP,0,0.363636364,294601,758087,Killiecrankie WOA,TAY,11,7,570.755102,0.2,1968.363636,50.63636364,54,1968,0,2,0
PH165ER,0,0.142857143,294446,758992,Killiecrankie WOA,TAY,16,7,570.755102,0.2,1943.285714,75.71428571,81,1943,0,2,0
PH165ET,0,0.611111111,294556,758576,Killiecrankie WOA,TAY,18,7,570.755102,0.2,1970.555556,48.44444444,25,1971,0,2,0
PH165LU,0,1,294744,757502,Killiecrankie WOA,TAY,15,7,570.755102,0.2,1981,38,38,1981,0,5,0
PH165PG,0,1,266425,758809,Kinloch Rannoch WOA,TAY,13,8,1307.75,0.25,1984.230769,34.76923077,38,1984,0,2,0
PH165PY,0,1,266468,758452,Kinloch Rannoch WOA,TAY,18,8,1307.75,0.330769231,1976.176471,42.82352941,44,1976,1,13,0.076923077
PH165PZ,0,0.076923077,266173,758362,Kinloch Rannoch WOA,TAY,12,8,1307.75,1.466666667,1954,65,69,1954,3,3,1
PH27JF,0,0,312676,724365,Perth (Gowans Terrace) WOA,TAY,12,2,561.0545455,0.25,1930,89,89,1930,0,2,0
PH73JH,0,1,286653,721487,Turret East Region WOA,TAY,16,4,0,0.2,1994,25,25,1994,0,2,0
PH80RG,0,1,303085,742080,Perth (Gowans Terrace) WOA,TAY,10,6,561.0545455,0.2,1989.7,29.3,30,1990,0,1,0
TD113NN,0,1,376746,653394,Rawburn WOA,TWEED,12,7,597.2653061,0.2,2004.7,14.3,14.5,2005,0,3,0
ZE10DT,0,0.1,447574,1141244,Sandy Loch WOA,DON,9,5,0,0.2,1954.4,64.6,54,1954,0,2,0
ZE10NW,0,1,447000,1141270,Sandy Loch WOA,DON,10,5,0,0.2,2000,19,19,2000,0,1,0
ZE10TR,0,0.571428571,440288,1139452,Sandy Loch WOA,DON,39,8,0,0.2,1947.514286,71.48571429,29,1948,0,4,0
ZE10XA,0,0.043478261,440057,1139549,Sandy Loch WOA,DON,22,8,0,0.225,1927.391304,91.60869565,89,1927,0,4,0
ZE10XD,1,0.6,439876,1139432,Sandy Loch WOA,DON,27,8,0,0.5,1967.45,51.55,44.5,1967,1,3,0.333333333
ZE29AX,0,0.894736842,453310,1186837,Yell WOA,DON,26,8,0,0.225,1976.421053,42.57894737,39,1976,0,4,0
ZE29AZ,0,0,452013,1179470,Yell WOA,DON,18,8,0,0.25,1951,68,68,1951,0,2,0
ZE29BD,0,0.842105263,446413,1180084,Yell WOA,DON,15,8,0,0.28,1974.210526,44.78947368,37,1974,0,5,0
ZE29BG,0,0.7,445677,1182697,Yell WOA,DON,17,8,0,0.205882353,1963.6,55.4,32.5,1964,0,18,0
ZE29BJ,0,0.611111111,450657,1190977,Yell WOA,DON,19,8,0,0.8,1965.166667,53.83333333,39.5,1965,1,6,0.166666667
ZE29BN,0,0.3,451117,1191244,Yell WOA,DON,24,8,0,0.275,1925.95,93.05,84.5,1926,0,4,0
ZE29BS,0,0.466666667,451512,1190666,Yell WOA,DON,14,8,0,0.25,1963.333333,55.66666667,64,1963,0,2,0
ZE29BT,0,0.636363636,451727,1190714,Yell WOA,DON,10,8,0,0.2,1946.272727,72.72727273,44,1946,0,4,0
ZE29BX,0,1,451087,1191204,Yell WOA,DON,9,8,0,0.433333333,1978.727273,40.27272727,42,1979,0,3,0
ZE29BZ,0,1,453793,1204092,Yell WOA,DON,7,8,0,0.4,1976,43,43,1976,0,4,0
ZE29DA,0,0.333333333,451547,1192248,Yell WOA,DON,26,8,0,0.225,1941.111111,77.88888889,86,1941,0,4,0
ZE29DD,0,0.568181818,453360,1203768,Yell WOA,DON,53,8,0,0.233333333,1947.818182,71.18181818,43.5,1948,0,9,0
ZE29DE,0,0,453703,1203988,Yell WOA,DON,10,8,0,0.2,1953,66,66,1953,0,2,0
ZE29DG,0,0.2,452138,1197855,Yell WOA,DON,15,8,0,3,1917.9,101.1,111.5,1918,2,2,1
ZE29DJ,0,0.641025641,462755,1190782,Fetlar WOA,DON,31,8,0,0.922222222,1951.666667,67.33333333,44,1952,4,9,0.444444444
ZE29EL,0,0.6875,449170,1141584,Sandy Loch WOA,DON,30,8,0,0.2,1945.1875,73.8125,40,1945,0,3,0
ZE29EQ,0,0.142857143,461626,1213615,Unst WOA,DON,16,8,0,0.2,1897.214286,121.7857143,115.5,1897,0,5,0
ZE29NJ,0,0.588235294,432471,1144549,Eela Water WOA,DON,33,8,0,0.54,1934.147059,84.85294118,39.5,1934,1,5,0.2
ZE29NN,0,1,433376,1152242,Eela Water WOA,DON,20,8,0,0.2,1978.181818,40.81818182,45,1978,0,2,0
ZE29NY,0,1,431198,1144738,Eela Water WOA,DON,12,8,0,0.4,1975,44,44,1975,0,3,0
ZE29PL,0,0.666666667,419558,1157303,Eela Water WOA,DON,78,8,0,0.2,1964.981481,54.01851852,37,1965,0,7,0
ZE29PN,0,0.368421053,397074,1138793,Foula WOA,DON,20,8,0,0.72,1910.578947,108.4210526,105,1911,1,5,0.2
ZE29RE,0,0.846153846,433688,1169788,Eela Water WOA,DON,10,8,0,0.2,1972.923077,46.07692308,38,1973,0,1,0
ZE29RS,0,0.5,423424,1179683,Eela Water WOA,DON,31,8,0,0.3,1940.95,78.05,52,1941,0,5,0
ZE29RX,0,0.928571429,434301,1182411,Eela Water WOA,DON,18,8,0,0.2,1986.357143,32.64285714,24.5,1986,0,2,0
